date;ref;NO2_61FD;NO2_61F0;NO2_61EF
2017-10-07 14:30:00;50.7;1.4;19.3;1.4
2017-10-07 14:45:00;32.3;0.0;4.1;0.0
2017-10-07 15:00:00;34.8;0.0;3.0;0.0
2017-10-07 15:15:00;32.3;0.0;0.0;2.0
2017-10-07 15:30:00;30.8;0.0;0.0;0.0
2017-10-07 15:45:00;40.6;0.0;13.2;0.0
2017-10-07 16:00:00;32.3;0.0;2.0;0.0
2017-10-07 16:15:00;29.7;0.0;0.0;0.0
2017-10-07 16:30:00;33.5;0.0;3.0;0.0
2017-10-07 16:45:00;29.4;0.0;0.0;0.0
2017-10-07 17:00:00;36.5;0.0;10.1;0.0
2017-10-07 17:15:00;28.7;0.0;0.7;0.0
2017-10-07 17:30:00;35.4;0.0;1.0;0.0
2017-10-07 17:45:00;34.3;0.0;6.1;0.0
2017-10-07 18:00:00;29.3;0.0;1.0;0.0
2017-10-07 18:15:00;40.6;0.0;8.1;0.0
2017-10-07 18:30:00;33.5;0.0;0.0;0.0
2017-10-07 18:45:00;35.9;0.0;11.2;0.0
2017-10-07 19:00:00;28.8;0.0;1.4;0.0
2017-10-07 19:15:00;28.4;0.0;2.0;0.0
2017-10-07 19:30:00;36.2;0.0;3.0;0.0
2017-10-07 19:45:00;25.6;0.0;0.0;0.0
2017-10-07 20:00:00;19.6;0.0;0.0;0.0
2017-10-07 20:15:00;18.7;0.0;0.0;0.0
2017-10-07 20:30:00;29.2;0.0;1.0;0.0
2017-10-07 20:45:00;23.1;0.0;0.0;0.0
2017-10-07 21:00:00;29.1;0.0;1.0;0.0
2017-10-07 21:15:00;35.9;0.0;4.1;0.0
2017-10-07 21:30:00;42.3;0.0;5.1;0.0
2017-10-07 21:45:00;27.9;0.0;5.1;0.0
2017-10-07 22:00:00;34.8;0.0;1.0;0.0
2017-10-07 22:15:00;27.6;0.0;1.0;0.0
2017-10-07 22:30:00;36.2;0.0;4.1;0.0
2017-10-07 22:45:00;29.6;0.0;0.0;0.0
2017-10-07 23:00:00;23.1;0.0;0.0;0.0
2017-10-07 23:15:00;40.7;0.0;8.1;0.7
2017-10-07 23:30:00;69.3;0.0;22.3;3.0
2017-10-07 23:45:00;40.9;0.0;15.2;0.0
2017-10-08 00:00:00;47.8;0.0;6.1;1.0
2017-10-08 00:15:00;23.3;0.0;4.1;0.0
2017-10-08 00:30:00;24.7;0.0;0.0;0.0
2017-10-08 00:45:00;42.3;0.0;7.1;0.0
2017-10-08 01:00:00;35.8;0.0;0.0;0.0
2017-10-08 01:15:00;41.7;0.0;6.1;0.0
2017-10-08 01:30:00;36.3;0.0;2.0;0.0
2017-10-08 01:45:00;31.0;0.0;2.0;0.0
2017-10-08 02:00:00;24.3;0.0;0.0;0.0
2017-10-08 02:15:00;24.9;0.0;0.0;0.0
2017-10-08 02:30:00;38.8;0.0;1.0;0.0
2017-10-08 02:45:00;45.4;0.0;5.1;0.0
2017-10-08 03:00:00;24.5;0.0;0.0;0.0
2017-10-08 03:15:00;34.9;0.0;0.0;0.0
2017-10-08 03:30:00;32.8;0.0;0.0;0.0
2017-10-08 03:45:00;34.9;0.0;1.4;0.0
2017-10-08 04:00:00;35.0;0.0;2.0;0.0
2017-10-08 04:15:00;30.0;0.0;2.0;0.0
2017-10-08 04:30:00;32.5;0.0;0.0;0.0
2017-10-08 04:45:00;33.8;0.0;0.0;0.0
2017-10-08 05:00:00;44.3;0.0;2.0;0.0
2017-10-08 05:15:00;43.4;0.0;3.0;0.0
2017-10-08 05:30:00;30.7;0.0;2.0;0.0
2017-10-08 05:45:00;40.7;0.0;2.0;0.0
