# date;Temp;RH;Tgrad;Patm;Pluvio
2017-10-03 02:45:00;12.7;83.7;-0.2;1017.6;0
2017-10-03 03:00:00;12.7;83.3;-0.3;1017.6;0
2017-10-03 03:15:00;12.6;83.3;-0.2;1017.7;0
2017-10-03 03:30:00;12.5;83.5;0;1017.9;0
2017-10-03 03:45:00;12.3;83.7;0.1;1018.1;0
2017-10-03 04:00:00;12.1;84.2;0.1;1018.2;0
2017-10-03 04:15:00;11.9;85.1;0.2;1018.4;0
2017-10-03 04:30:00;11.7;85.3;0.3;1018.6;0
2017-10-03 04:45:00;11.6;85.3;0.3;1018.7;0
2017-10-03 05:00:00;11.5;85.3;0.6;1018.8;0
2017-10-03 05:15:00;11.3;85.7;0.9;1019;0
2017-10-03 05:30:00;11.3;86.3;1;1019.3;0
2017-10-03 05:45:00;11.3;86.1;1;NA;NA
2017-10-03 06:00:00;11.2;85.9;1;NA;NA
2017-10-03 06:15:00;11.1;85.8;0.9;1019.9;0
2017-10-03 06:30:00;11.2;86;0.7;1020.3;0
2017-10-03 06:45:00;11.4;86.2;0.5;1020.6;0.1
2017-10-03 07:00:00;11.9;85.5;0.2;1020.8;0.1
2017-10-03 07:15:00;12.7;84.8;0;1020.9;0
2017-10-03 07:30:00;13.6;82.5;-0.3;1021;0
2017-10-03 07:45:00;14.7;79.3;-0.6;1021.2;0
2017-10-03 08:00:00;15.7;76.5;-1;1021.4;0
2017-10-03 08:15:00;16.7;73.3;-1.3;1021.8;0
2017-10-03 08:30:00;17.5;71.3;-1.7;1022.1;0
2017-10-03 08:45:00;18.2;69.3;-2;1022.4;0
2017-10-03 09:00:00;19.1;66;-2.1;1022.6;0
2017-10-03 09:15:00;19.7;63.3;-2.2;1022.8;0
2017-10-03 09:30:00;20;60.9;-2.4;1023;0
2017-10-03 09:45:00;19.7;59.8;-2.5;1023.3;0
2017-10-03 10:00:00;19.1;59.8;-2.3;1023.5;0
2017-10-03 10:15:00;19.6;60;-2.2;1023.4;0
2017-10-03 10:30:00;21.4;56.2;-2.4;1023.5;0
2017-10-03 10:45:00;21.4;53.5;-2.5;1023.6;0
2017-10-03 11:00:00;20.8;54.3;-2.6;1023.8;0
2017-10-03 11:15:00;21.4;52.6;-2.1;1023.8;0.2
2017-10-03 11:30:00;22.5;50.7;-2.4;1023.7;0
2017-10-03 11:45:00;22.2;50;-2.3;1023.7;0
2017-10-03 12:00:00;22.6;49.7;-2.5;1023.7;0
2017-10-03 12:15:00;22.1;49.8;-2.4;1023.7;0
2017-10-03 12:30:00;22.1;48;-2.3;1023.7;0
2017-10-03 12:45:00;21.2;50.1;-2;1023.8;0
2017-10-03 13:00:00;22.4;49.2;-2.3;1023.6;0
2017-10-03 13:15:00;21.9;47.8;-2.4;1023.8;0
2017-10-03 13:30:00;21.6;49.3;-2.6;1024;0
2017-10-03 13:45:00;21.7;47.7;-2.2;1024;0
2017-10-03 14:00:00;22.3;48.3;-2.4;1023.8;0
2017-10-03 14:15:00;23.1;46.3;-2.1;1023.7;0
2017-10-03 14:30:00;23.5;45.2;-2;1023.9;0
2017-10-03 14:45:00;23.6;45.2;-2.2;1023.8;0
2017-10-03 15:00:00;23.1;45.7;-2.1;1024;0
2017-10-03 15:15:00;21.7;46.5;-2;1023.9;0
2017-10-03 15:30:00;20.6;48.2;-2.1;1023.8;0
2017-10-03 15:45:00;19.9;50;-2;1023.7;0
2017-10-03 16:00:00;19.6;50.8;-1.7;NA;NA
2017-10-03 16:15:00;19.4;52.1;-1.5;1024;0
2017-10-03 16:30:00;18.9;52.8;-1.5;NA;NA
2017-10-03 16:45:00;18.3;54.2;-1.3;1024.4;0
2017-10-03 17:00:00;17.7;56;-1.1;1024.5;0
2017-10-03 17:15:00;17.1;56.8;-0.9;1024.5;0
2017-10-03 17:30:00;16.5;58;-0.6;1024.8;0
2017-10-03 17:45:00;16.1;58.8;-0.5;1024.9;0
2017-10-03 18:00:00;15.6;59.9;-0.1;1025.2;0
2017-10-03 18:15:00;15.2;61.2;0;1025.5;0
2017-10-03 18:30:00;14.9;62;0.1;1025.4;0
2017-10-03 18:45:00;14.8;62.8;0.3;1025.4;0
2017-10-03 19:00:00;14.5;64.3;0.3;1025.6;0
2017-10-03 19:15:00;14.2;65.5;0.5;1025.7;0
2017-10-03 19:30:00;13.9;66.5;0.7;1025.9;0
2017-10-03 19:45:00;13.6;67.7;0.7;1026;0
2017-10-03 20:00:00;13.2;69.1;1;1025.9;0
2017-10-03 20:15:00;12.7;70.5;1.5;1025.9;0
2017-10-03 20:30:00;12.5;72;1.5;1025.7;0
2017-10-03 20:45:00;12.3;73;1.6;1025.6;0
2017-10-03 21:00:00;12.2;74;1.4;1025.7;0
2017-10-03 21:15:00;12.2;74.7;1.5;1025.7;0
2017-10-03 21:30:00;12.1;75.9;1.5;1025.9;0
2017-10-03 21:45:00;12;76.2;1.5;1025.8;0
2017-10-03 22:00:00;11.8;76.8;1.7;1025.7;0
2017-10-03 22:15:00;11.7;77.2;1.6;1025.9;0
2017-10-03 22:30:00;11.6;78;1.2;1025.9;0
2017-10-03 22:45:00;11.5;78;1.1;1026;0
2017-10-03 23:00:00;11.4;78;1.2;1025.9;0
2017-10-03 23:15:00;11.2;78.7;1.7;1025.7;0
2017-10-03 23:30:00;11;79;2;1025.6;0
2017-10-03 23:45:00;10.7;79.3;2;1025.8;0
2017-10-04 00:00:00;10.5;79.8;2;1025.6;0
2017-10-04 00:15:00;10.3;80.5;2.6;1025.5;0
2017-10-04 00:30:00;10;80.7;2.7;1025.6;0
2017-10-04 00:45:00;9.9;81.3;2.4;1025.5;0
2017-10-04 01:00:00;9.9;82;2.2;1025.6;0
2017-10-04 01:15:00;10;82.3;2;1025.7;0
2017-10-04 01:30:00;10.1;82.3;2.1;1025.6;0
2017-10-04 01:45:00;10.2;82.2;1.9;1025.4;0
2017-10-04 02:00:00;10.3;82;1.8;1025.3;0
2017-10-04 02:15:00;10.4;81.7;1.6;1025;0
2017-10-04 02:30:00;10.5;81;1.7;1025;0
2017-10-04 02:45:00;10.6;81;1.7;1024.8;0
2017-10-04 03:00:00;10.6;80.9;1.8;1024.6;0
2017-10-04 03:15:00;10.6;80.5;2.2;1024.7;0
2017-10-04 03:30:00;10.5;80.2;2.4;1024.6;0
2017-10-04 03:45:00;10.4;80.5;2.2;1024.6;0
2017-10-04 04:00:00;10.3;81;1.9;1024.6;0
2017-10-04 04:15:00;10.3;81.2;1.6;1024.4;0
2017-10-04 04:30:00;10.2;81.3;1.4;1024.4;0
2017-10-04 04:45:00;10.2;81.4;1.5;1024.5;0
2017-10-04 05:00:00;10.3;81.7;1.4;1024.6;0
2017-10-04 05:15:00;10.5;81.7;1.1;1024.8;0
2017-10-04 05:30:00;10.5;81.5;0.9;1024.7;0
2017-10-04 05:45:00;10.6;80.7;0.8;1024.9;0.1
2017-10-04 06:00:00;10.5;80.7;1.1;1024.9;0
2017-10-04 06:15:00;10.4;80.8;1.4;1024.8;0
2017-10-04 06:30:00;10.4;81;1.6;1024.9;0
2017-10-04 06:45:00;10.4;80.8;1.7;1024.7;0
2017-10-04 07:00:00;10.5;80.7;1.5;NA;NA
2017-10-04 07:15:00;10.7;80.7;1.2;1024.9;0
2017-10-04 07:30:00;11;80.3;0.5;1024.8;0.1
2017-10-04 07:45:00;11.3;79.3;0;1024.9;0
2017-10-04 08:00:00;11.8;78.4;-0.7;1024.9;0
2017-10-04 08:15:00;12.8;76.7;-1.5;1024.8;0
2017-10-04 08:30:00;14.2;73.2;-2.1;1024.9;0
2017-10-04 08:45:00;14.9;70.3;-2.1;1024.9;0
2017-10-04 09:00:00;15.8;68.2;-2;1024.8;0
2017-10-04 09:15:00;16.2;66.3;-2.3;1024.9;0
2017-10-04 09:30:00;17.3;64;-2.6;1025;0
2017-10-04 09:45:00;18.1;62.5;-2.6;1025.2;0
2017-10-04 10:00:00;18;62.2;-2.6;1025.2;0
2017-10-04 10:15:00;17.8;62.5;-2.3;1025.1;0.3
2017-10-04 10:30:00;18.1;62.7;-2.3;1025;0
2017-10-04 10:45:00;18.6;61.7;-2.4;1024.8;0
2017-10-04 11:00:00;19.4;59.3;-2.8;1024.7;0
2017-10-04 11:15:00;19.5;58;-2.9;1024.7;0
2017-10-04 11:30:00;19.6;57.3;-2.8;1024.6;0
2017-10-04 11:45:00;20.1;56.2;-2.7;1024.6;0
2017-10-04 12:00:00;21.1;54.7;-2.4;1024.6;0
2017-10-04 12:15:00;21.3;53.7;-2.6;1024.4;0
2017-10-04 12:30:00;20.9;54.2;-2.9;1024.1;0
2017-10-04 12:45:00;21;54;-3.1;1024;0
2017-10-04 13:00:00;21.5;51.3;-3;1023.9;0
2017-10-04 13:15:00;21.7;50.1;-2.8;1023.9;0
2017-10-04 13:30:00;21.6;49.8;-2.6;1023.8;0
2017-10-04 13:45:00;21.6;50.2;-2.3;1023.7;0
2017-10-04 14:00:00;21.6;50.7;-2.4;1023.7;0
2017-10-04 14:15:00;21.7;50;-2.2;1023.6;0
2017-10-04 14:30:00;21.5;49.3;-2.2;1023.5;0
2017-10-04 14:45:00;20.8;49.7;-2.2;1023.3;0
2017-10-04 15:00:00;20.3;50.1;-2.1;1023.2;0
2017-10-04 15:15:00;19.5;52.4;-2;1023.2;0
2017-10-04 15:30:00;19.2;54;-1.9;1023;0
2017-10-04 15:45:00;19.1;54.8;-1.8;1023;0
2017-10-04 16:00:00;19.3;54.8;-1.7;1022.9;0
2017-10-04 16:15:00;19.1;54.3;-1.7;1022.7;0.1
2017-10-04 16:30:00;18.7;55.3;-1.5;1022.5;0
2017-10-04 16:45:00;18.7;56.2;-1.4;1022.4;0
2017-10-04 17:00:00;18.7;56.8;-1.1;1022.3;0
2017-10-04 17:15:00;18.3;57.7;-0.8;1022.2;0
2017-10-04 17:30:00;17.5;59.2;-0.4;1022.3;0
2017-10-04 17:45:00;16.8;60.8;-0.1;1022.3;0.1
2017-10-04 18:00:00;16.2;63;0;1022.3;0
2017-10-04 18:15:00;15.8;64.2;0.3;1022.2;0
2017-10-04 18:30:00;15.4;65.5;0.7;1022.2;0
2017-10-04 18:45:00;15.1;66.8;0.9;1022.1;0
2017-10-04 19:00:00;14.8;68;1;1022.1;0
2017-10-04 19:15:00;14.4;68.8;1.1;1022;0
2017-10-04 19:30:00;14.2;69.7;0.9;1022.1;0
2017-10-04 19:45:00;14.1;70.5;0.7;1022;0
2017-10-04 20:00:00;13.9;71.3;0.4;1022;0
2017-10-04 20:15:00;13.8;72.2;0.3;1022;0
2017-10-04 20:30:00;13.5;73.2;0;1022;0
2017-10-04 20:45:00;13.2;74.3;-0.2;1021.9;0
2017-10-04 21:00:00;13.2;74.7;0;1021.9;0
2017-10-04 21:15:00;13.2;75.3;0;1021.7;0
2017-10-04 21:30:00;13.2;75.3;0.1;1021.6;0
2017-10-04 21:45:00;13.1;75.2;0.3;1021.6;0
2017-10-04 22:00:00;13;75.2;0;1021.5;0
2017-10-04 22:15:00;12.8;75.6;0;1021.4;0
2017-10-04 22:30:00;12.7;75.3;0;1021.3;0
2017-10-04 22:45:00;12.7;75.3;0.2;1021.1;0
2017-10-04 23:00:00;12.5;75.7;0.1;1020.9;0
2017-10-04 23:15:00;12.3;75.7;0.1;1020.7;0
2017-10-04 23:30:00;12.2;76.2;0;1020.6;0
2017-10-04 23:45:00;12;76.7;0.1;1020.4;0
2017-10-05 00:00:00;11.9;77;-0.2;1020.3;0
2017-10-05 00:15:00;12;77.2;-0.3;1020.2;0
2017-10-05 00:30:00;12;77.3;-0.2;1020;0
2017-10-05 00:45:00;12;77.5;-0.1;1019.8;0
2017-10-05 01:00:00;12.1;77.8;-0.2;1019.6;0
2017-10-05 01:15:00;12.2;78.3;-0.5;1019.4;0
2017-10-05 01:30:00;12.4;78.3;-0.9;1019.3;0
2017-10-05 01:45:00;12.7;78.3;-0.9;1019.3;0
2017-10-05 02:00:00;13;77.7;-1;1019;0
2017-10-05 02:15:00;13.2;77;-1.1;1018.7;0
2017-10-05 02:30:00;13.2;76.7;-1.1;1018.4;0
